Daily report: CIRIS Morning Report              Generated 05/02/2012 14:43
Report period: from  05/01/2012 05:00  to  05/02/2012 05:00

Rtu Name,Rtu ID  ,Rtu#,Diff-P,Line-P,Line-T,   Water,  Flow,FlowTm,WtrLvl,Casing,DownHP, MMBTU,
,,,                      inch,  psig,     F,    brls,   mcf, hh:mm,  Feet,  psig,  psig,mmbtuD,

State 16-7                    ,STATCHEK    ,3511,     0, 0.075,53.604, 0.000, 0.000, 00:00, 0.000,     0,     0, 0.000,
Section  11: Total Gas Production:  0.000 mcf    0.000 MMBTU   Total Water: 0.000 brls

Federal 21-8                  ,21084174    ,0230,     0, 0.008,54.154, 0.000, 0.000, 00:00,42.000,-15.000,-5.629, 0.000,
Federal 12-8                  ,12084174    ,0231,     0, 0.114,55.694, 0.000, 0.000, 00:00,75.911,-15.000, 1.623, 0.000,
Federal 23-8                  ,23084174    ,0232,     0, 0.146,54.034, 0.000, 0.000, 00:00,62.503, 2.443,16.249, 0.000,
Federal 32-8                  ,32084174    ,0233,10.204, 8.968,100.515, 0.031,12.412, 24:00,59.716,-10.167, 2.916,11.580,
Federal 41-8                  ,41084174    ,0234,     0, 0.362,54.384, 0.000, 0.000, 00:00, 0.000,-1.620,-8.881, 0.000,
Federal 34-8                  ,34084174    ,0235,40.671, 8.585,95.336, 0.000,24.377, 24:00,12.844,-9.736,-6.721,22.817,
Federal 14-8                  ,14084174    ,0236,     0, 0.035,53.440, 0.000, 0.000, 00:00,14.000,-0.216, 3.074, 0.000,
Federal 43-8                  ,43084174    ,0237,     0, 0.191,55.074, 0.000, 0.000, 00:00,27.941,-0.069, 6.048, 0.000,
Federal 12-9                  ,12094174    ,0238,     0, 0.019,54.529, 0.000, 0.000, 00:00,32.000,-0.138, 7.053, 0.000,
Federal 21-9                  ,21094174    ,0239,51.901, 5.495,96.481, 0.000,11.063, 24:00,55.611,-10.140, 2.020,10.377,
Federal 21-17                 ,21174174    ,0240,     0, 0.000,54.422, 0.000, 0.000, 00:00,56.024, 0.078,12.574, 0.000,
Federal 32-9                  ,32094174    ,0241,20.203, 5.844,95.949, 0.000,16.130, 24:00,84.103,-15.000, 3.577,15.340,
Federal 14-9                  ,14094174    ,0242,     0, 0.000,54.827, 0.000, 0.000, 00:00,35.553, 0.080, 7.921, 0.000,
Federal 41-17                 ,41174174    ,0243,     0, 0.254,54.433, 0.000, 0.000, 00:00,33.561,-0.084, 7.361, 0.000,
Federal 34-9                  ,34094174    ,0244,     0, 0.188,55.243, 0.000, 0.000, 00:00,74.821, 9.054,25.458, 0.000,
Federal 23-9                  ,23094174    ,0245,     0, 0.244,54.287, 0.000, 0.000, 00:00,65.865,-0.018,14.315, 0.000,
