Daily report: CIRIS Morning Report              Generated 05/02/2012 14:43
Report period: from  05/01/2012 05:00  to  05/02/2012 05:00

Rtu Name,Rtu ID  ,Rtu#,Diff-P,Line-P,Line-T,   Water,  Flow,FlowTm,WtrLvl,Casing,DownHP, MMBTU,
,,,                      inch,  psig,     F,    brls,   mcf, hh:mm,  Feet,  psig,  psig,mmbtuD,

State 16-7                    ,STATCHEK    ,3511,     0, 0.075,53.604, 0.000, 0.000, 00:00, 0.000,     0,     0, 0.000,
Section  11: Total Gas Production:  0.000 mcf    0.000 MMBTU   Total Water: 0.000 brls

Federal 41-21                 ,41214175    ,5089, 8.332, 4.698,68.663, 0.000,17.517, 24:00,87.019, 4.674,23.732,16.186,
Federal 12-22                 ,12224175    ,5090,97.585, 6.009,54.480, 0.238,14.826, 24:00,55.648, 5.999,18.272,13.862,
Federal 21-6                  ,21064175    ,5091,     0, 0.000,55.878, 0.000, 0.000, 00:00,833.295, 0.000,180.781, 0.000,
Federal 41-6                  ,41064175    ,5092,     0, 0.000,54.751, 0.000, 0.000, 00:00,923.744, 0.000,200.345, 0.000,
Iberlin 32-6                  ,32064175    ,5093,     0, 0.057,54.669, 0.000, 0.000, 00:00,927.281, 0.053,201.051, 0.000,
Federal 43-6                  ,43064175    ,5094,     0, 0.000,54.727, 0.000, 0.000, 00:00,640.000, 0.000,138.878, 0.000,
Federal 14-8                  ,14084175    ,5098,     0, 0.159,71.711, 0.000, 0.000, 00:00,747.782, 0.141,162.338, 0.000,
Federal 23-8                  ,23084175    ,5099,48.376,10.963,53.572, 0.022,12.697, 24:00,60.050,11.012,24.236,11.377,
Federal 34-21                 ,34214175    ,5104,     0, 0.052,55.971, 0.000, 0.000, 00:00,1032.010, 0.023,223.754, 0.000,
Fed 32-21                     ,32214175    ,5105,26.657, 3.827,59.603,11.910,17.276, 24:00,53.415, 3.793,15.575,16.014,
Federal 43-21                 ,43214175    ,5106,15.567, 3.368,68.500, 3.918,13.602, 24:00,92.892, 3.384,23.720,12.773,
Federal 12-6                  ,12064175    ,5107,     0, 0.004,54.517, 0.000, 0.000, 00:00,1125.961, 0.001,243.933, 0.000,
 Iberlin 23-6                 ,23064175    ,5108,     0, 0.000,54.981, 0.000, 0.000, 00:00,1273.166, 0.000,275.859, 0.000,
 Iberlin 14-6                 ,14064175    ,5109,     0, 0.260,53.682, 0.000, 0.000, 00:00, 0.000, 0.252,-15.000, 0.000,
Iberlin 34-6                  ,34064175    ,5110,     0, 0.151,51.729, 2.631, 0.000, 00:00,1421.982, 0.138,308.250, 0.000,
Fed 41-17                     ,41174175    ,5122,     0, 0.001,53.595, 0.000, 0.000, 00:00,735.407, 0.029,159.596, 0.000,
Fed 34-17                     ,34174175    ,5123,     0, 0.010,54.376, 0.000, 0.000, 00:00,1189.979, 0.010,257.908, 0.000,
Fed 32-17-4175                ,32174175    ,5126,     0, 0.076,76.765, 0.000, 0.000, 00:00,829.834, 0.137,180.133, 0.000,
Fed 23-17-4175                ,23174175    ,5127,     0, 0.243,53.574, 0.000, 0.000, 00:00,1209.482, 0.198,262.230, 0.000,
Fed 12-26-4175                ,12264175    ,5128,20.709, 4.080,64.380, 0.006,26.985, 24:00,86.967, 4.098,23.137,25.555,
Iberlin 12-17                 ,12174175    ,5129,     0, 0.060,54.181, 0.000, 0.000, 00:00,1560.000, 0.107,338.193, 0.000,
Iberlin 14-17                 ,14174175    ,5130,     0, 0.018,53.510, 0.000, 0.000, 00:00,1468.000, 0.081,318.143, 0.000,
Federal 21-8                  ,21084175    ,5200,     0, 0.176,77.730, 0.000, 0.000, 00:00,20.507, 0.191, 4.853, 0.000,
Federal 34-8                  ,34084175    ,5201,     0, 0.026,55.220, 0.000, 0.000, 00:00,1118.447, 0.017,242.434, 0.000,
Federal 21-17                 ,21174175    ,5202,     0, 0.045,54.853, 0.000, 0.000, 00:00,871.168, 0.060,188.896, 0.000,
Federal 43-17                 ,43174175    ,5203,     0, 0.094,53.466, 0.000, 0.000, 00:00, 0.000, 0.087,-14.922, 0.000,
Federal 21-26                 ,21264175    ,5207, 2.116, 3.560,62.539, 8.753,34.014, 24:00,57.042, 3.546,16.110,32.211,
Federal 14-7                  ,14074175    ,5208,     0, 0.000,52.592, 0.000, 0.000, 00:00,1558.000, 0.000,337.748, 0.000,
Section  18: Total Gas Production: 547.691 mcf   515.290 MMBTU   Total Water:178.293 brls
