 podid , operatorid ,               description               , config_id , active ,      muid       , provider 
1497,93, PFU 2 24-16                             ,9390, t      ,9152184103, ATT
1451,93, PFU 2 907                               ,8773, t      ,5052082384, ATT
1924,93, PFU 3-1080                              ,6724, t      ,5055066745, ATT
1986,93, PFU 3 1323 Battery                      ,8923, t      ,5052526910, ATT
2298,93, PFU 3-1729                              ,9085, t      ,5052219603, ATT
1675,93, PFU 3-2009                              ,8914, t      ,5054527657, verizon
2334,93, PFU 3 2913                              ,6912, t      ,5053310633, verizon
2099,93, PFU 3 3911 H                            ,8474, t      ,5053821188, ATT
1620,93, PFU 3 42-18 Battery                     ,8777, t      ,5055030849, ATT
2069,93, PFU 3 4408 Battery                      ,8790, t      ,5053019543, ATT
1548,93, PFU 3 7-12                              ,8931, t      ,5054013895, ATT
2544,93, Poppy State                             ,6849, t      ,5055088310, ATT
1808,93, Powell #19 Booster                      ,4143, t      ,5054148606, ATT
1637,93, PPU 42-P Station                        ,8914, t      ,5054527657, verizon
1636,93, PPU 5-P                                 ,8914, t      ,5054527657, verizon
1659,93, PSARU Battery #1                        ,8821, t      ,5052061733, ATT
1635,93, PSU 7-S Station                         ,8914, t      ,5054527657, verizon
402,93, Rachel Battery                          ,9496, t      ,5053310048, ATT
400,93, Rachel Satellite #1 Station             ,9352, t      ,5053624390, verizon
391,93, Rachel Satellite #3 Station             ,8761, t      ,5053820368, ATT
924,93, Railway Header                          ,8932, t      ,5054016143, ATT
1429,93, Railway South 6 inch Tap                ,8817, t      ,5052060516, ATT
1494,93, Rawhide State #4-3H                     ,9715, t      ,5052691382, ATT
2078,93, Red Willow A 8705H                      ,5183, t      ,5052524432, verizon
2094,93, Red Willow B 8501H                      ,7790, t      ,5054526435, ATT
2442,93, Roasted Goat                            ,7934, t      ,5053791465, verizon
2279,93, Rough Rider 4506-H                      ,5626, t      ,5056971323, verizon
1388,93, Roy Parks 29                            ,8776, t      ,5052195283, ATT
1387,93, Roy Parks 48                            ,9590, t      ,9153190874, ATT
1643,93, Roy Parks B Injection Wells             ,7807, t      ,5055066550, verizon
1390,93, Roy Parks C                             ,9754, t      ,5053628794, ATT
825,93, Sallie 11                               ,8872, t      ,5053774572, ATT
819,93, Sallie 13                               ,8880, t      ,5052743709, ATT
818,93, Sallie 14                               ,8873, t      ,5052182865, ATT
826,93, Sallie 2                                ,8742, t      ,5053734347, ATT
815,93, Sallie 23                               ,8911, t      ,5052355044, ATT
586,93, Sallie A 26                             ,8878, t      ,5053771666, ATT
814,93, Sallie B 12                             ,8871, t      ,5054140224, ATT
835,93, Sallie C                                ,8891, t      ,5052218316, verizon
830,93, Sallie F                                ,8744, t      ,5053310012, verizon
1372,93, Sarah Battery                           ,8905, t      ,5053628322, verizon
2490,93, Severo                                  ,9638, t      ,5053771741, verizon
1335,93, SJ Reed                                 ,8741, t      ,5053897185, verizon
1612,93, State Glass 2-11                        ,8904, t      ,5052351068, ATT
1505,93, T2 South Booster                        ,8824, t      ,5052209709, ATT
2443,93, Trailblazer                             ,8392, t      ,5053820898, ATT
1943,93, Tricky Dick #13 Battery                 ,6941, t      ,5052887424, ATT
1729,93, Trust Buster 901H                       ,9190, t      ,5052801524, verizon
1810,93, TXL #11 Flow Back Pit                   ,8820, t      ,5052254204, ATT
2157,93, TXL #11 SWD                             ,5273, t      ,5052202892, ATT
1692,93, TXL #15                                 ,5635, t      ,5055062610, ATT
1691,93, TXL #17                                 ,5635, t      ,5055062610, ATT
1689,93, TXL #21                                 ,5635, t      ,5055062610, ATT
1700,93, TXL #23                                 ,5635, t      ,5055062610, ATT
1699,93, TXL #31                                 ,9721, t      ,5052633927, ATT
1702,93, TXL #33                                 ,6076, t      ,5052384571, ATT
1696,93, TXL #35W                                ,9721, t      ,5052633927, ATT
2312,93, TXL #39                                 ,7719, t      ,5053820495, ATT
1695,93, TXL #41W                                ,9721, t      ,5052633927, ATT
1701,93, TXL #45                                 ,8343, t      ,5056972670, verizon
1690,93, TXL #9                                  ,5635, t      ,5055062610, ATT
1619,93, TXL F Battery                           ,8820, t      ,5052254204, ATT
1901,93, University 41 #2 SWD                    ,8408, t      ,5058037261, ATT
2733,93, Veto Battery                            ,9580, t      ,4325571325, ATT
2025,93, West Pearl 36 State #1 SWD              ,5011, t      ,5052748350, verizon
2028,93, West Pearl 36 State #1 SWD HUB Diag.    ,5011, t      ,5052748350, verizon
2029,93, West Pearl 36 State SWD #1 Transactions ,5011, t      ,5052748350, verizon
1014,93, Windham SWD                             ,9037, t      ,5054144911, verizon
